fecha,temp,tmin,tmax,rhum,prcp,wspd,wpgt,pres,cldc
2026-07-01 00:00:00-05:00,15.083333333333334,11.0,20.0,73.79166666666667,0.0,6.75,19.0,1025.9166666666667,3.8333333333333335
2026-07-02 00:00:00-05:00,13.666666666666666,6.0,18.0,81.45833333333333,0.0,4.625,,1026.75,3.333333333333333
2026-07-03 00:00:00-05:00,14.5,11.0,19.0,80.875,7.6,7.166666666666667,,1027.5,2.9166666666666665
2026-07-04 00:00:00-05:00,13.875,10.0,19.0,85.70833333333333,3.4,4.291666666666667,,1028.5,3.0
2026-07-05 00:00:00-05:00,15.166666666666666,10.0,20.0,79.5,0.0,5.375,21.0,1028.2916666666667,3.083333333333333
2026-07-06 00:00:00-05:00,15.916666666666666,11.0,20.0,71.16666666666667,0.0,5.875,,1028.375,3.1666666666666665
2026-07-07 00:00:00-05:00,15.5,10.0,20.0,75.875,0.0,7.041666666666667,,1028.4583333333333,3.1666666666666665
2026-07-08 00:00:00-05:00,15.916666666666666,11.0,20.0,71.625,0.0,6.5,21.0,1028.2083333333333,3.8333333333333335
2026-07-09 00:00:00-05:00,14.625,10.0,19.0,85.08333333333333,0.9,5.166666666666667,,1027.125,3.333333333333333
2026-07-10 00:00:00-05:00,14.916666666666666,10.0,18.0,68.29166666666667,0.0,7.0,,1027.375,2.833333333333333
2026-07-11 00:00:00-05:00,12.875,4.0,19.0,82.20833333333333,0.0,4.708333333333333,,1027.375,3.1666666666666665
2026-07-12 00:00:00-05:00,14.375,11.0,17.0,79.33333333333333,3.1,6.833333333333333,,1028.2083333333333,3.9166666666666665
2026-07-13 00:00:00-05:00,13.875,7.0,18.0,68.70833333333333,0.0,6.916666666666667,27.0,1029.0,3.5
2026-07-14 00:00:00-05:00,13.625,5.0,19.0,75.08333333333333,0.0,6.208333333333333,,1027.625,4.5
2026-07-15 00:00:00-05:00,14.625,10.0,19.0,79.16666666666667,0.0,6.833333333333333,,1027.375,3.6666666666666665
2026-07-16 00:00:00-05:00,15.333333333333334,10.0,20.0,68.875,0.0,8.208333333333334,31.0,1027.4583333333333,3.4166666666666665
2026-07-17 00:00:00-05:00,15.75,12.0,20.0,60.833333333333336,0.0,6.916666666666667,,1027.875,3.333333333333333
2026-07-18 00:00:00-05:00,14.625,12.0,20.0,83.45833333333333,0.0,5.333333333333333,,1026.8333333333333,3.0
2026-07-19 00:00:00-05:00,14.208333333333334,11.0,19.0,85.58333333333333,0.0,3.875,,1026.5833333333333,2.9166666666666665
2026-07-20 00:00:00-05:00,13.958333333333334,11.0,19.0,93.20833333333331,3.2,3.0,17.0,1026.625,2.833333333333333
2026-07-21 00:00:00-05:00,14.375,9.0,19.0,74.08333333333333,0.0,5.583333333333333,,1026.1666666666667,2.958333333333333
2026-07-22 00:00:00-05:00,14.791666666666666,9.0,19.0,79.41666666666667,0.0,4.833333333333333,,1025.7083333333333,3.083333333333333
2026-07-23 00:00:00-05:00,14.041666666666666,11.0,18.0,83.91666666666667,3.5,6.75,,1026.6666666666667,2.6666666666666665
2026-07-24 00:00:00-05:00,13.916666666666666,8.0,19.0,71.375,0.0,5.708333333333333,,1028.1666666666667,3.5
2026-07-25 00:00:00-05:00,13.166666666666666,5.0,19.0,77.75,0.0,4.0,,1029.1666666666667,4.666666666666667
2026-07-26 00:00:00-05:00,14.375,12.0,18.0,79.75,0.0,6.791666666666667,,1028.75,3.8333333333333335
2026-07-27 00:00:00-05:00,14.125,9.0,20.0,72.20833333333333,0.0,5.75,,1028.25,3.1666666666666665
2026-07-28 00:00:00-05:00,13.916666666666666,7.0,21.0,74.66666666666667,0.0,4.75,,1028.2916666666667,3.7083333333333335
2026-07-29 00:00:00-05:00,14.375,9.0,19.0,80.125,0.0,5.25,,1027.2083333333333,3.583333333333333
2026-07-30 00:00:00-05:00,15.083333333333334,11.0,20.0,72.5,0.0,6.958333333333333,,1027.5416666666667,3.083333333333333
2026-07-31 00:00:00-05:00,15.291666666666666,8.0,20.0,68.04166666666667,0.0,7.208333333333333,23.0,1028.2916666666667,3.4166666666666665
2026-08-01 00:00:00-05:00,13.916666666666666,10.0,18.0,74.58333333333333,0.0,6.958333333333333,,1027.9583333333333,3.583333333333333
2026-08-02 00:00:00-05:00,13.708333333333334,8.0,20.0,68.04166666666667,0.0,6.75,,1027.8333333333333,3.2916666666666665
2026-08-03 00:00:00-05:00,13.75,8.0,18.0,73.16666666666667,0.0,6.041666666666667,,1027.0833333333333,3.5
2026-08-04 00:00:00-05:00,14.208333333333334,10.0,18.0,67.875,0.0,6.208333333333333,,1026.9166666666667,3.1666666666666665
2026-08-05 00:00:00-05:00,14.083333333333334,11.0,17.0,80.5,0.0,6.208333333333333,,1027.2083333333333,3.4166666666666665
2026-08-06 00:00:00-05:00,13.904166666666669,11.0,18.0,81.95833333333333,0.0,5.525,,1028.0454545454545,3.4166666666666665
2026-08-07 00:00:00-05:00,14.708333333333334,9.0,20.0,76.54166666666667,0.0,4.5,,1028.0416666666667,3.333333333333333
2026-08-08 00:00:00-05:00,15.583333333333334,11.0,21.0,74.95833333333333,0.0,6.625,,1027.2083333333333,4.0
2026-08-09 00:00:00-05:00,14.5,11.0,18.0,79.20833333333333,0.0,5.791666666666667,,1028.0416666666667,2.75
2026-08-10 00:00:00-05:00,14.666666666666666,8.0,21.0,63.41666666666666,0.0,7.208333333333333,26.0,1029.4583333333333,2.708333333333333
2026-08-11 00:00:00-05:00,14.875,9.0,19.0,64.58333333333333,0.0,9.291666666666666,,1029.375,3.1666666666666665
2026-08-12 00:00:00-05:00,15.5,12.0,19.0,58.958333333333336,0.0,7.958333333333333,,1027.9166666666667,3.6666666666666665
2026-08-13 00:00:00-05:00,14.166666666666666,10.0,19.0,75.83333333333333,0.0,6.041666666666667,,1028.4583333333333,2.583333333333333
2026-08-14 00:00:00-05:00,14.125,10.0,19.0,84.125,0.0,5.625,19.0,1027.9583333333333,2.9166666666666665
2026-08-15 00:00:00-05:00,15.041666666666666,11.0,21.0,79.33333333333333,0.0,5.083333333333333,16.0,1027.0833333333333,3.6666666666666665
2026-08-16 00:00:00-05:00,14.708333333333334,10.0,20.0,86.125,2.3,4.25,,1026.2916666666667,3.0
2026-08-17 00:00:00-05:00,14.458333333333334,11.0,18.0,86.33333333333333,5.9,5.291666666666667,,1027.5833333333333,2.9166666666666665
2026-08-18 00:00:00-05:00,14.5,11.0,19.0,76.54166666666667,0.0,5.083333333333333,15.0,1028.7083333333333,3.875
2026-08-19 00:00:00-05:00,15.541666666666666,12.0,20.0,66.08333333333333,0.0,8.375,25.0,1028.5,2.9166666666666665
2026-08-20 00:00:00-05:00,15.083333333333334,9.0,19.0,69.54166666666667,0.0,7.125,26.0,1028.75,3.6666666666666665
2026-08-21 00:00:00-05:00,14.541666666666666,12.0,19.0,85.54166666666667,0.0,5.25,,1028.7083333333333,2.75
2026-08-22 00:00:00-05:00,14.375,11.0,18.0,85.75,0.0,5.0,,1028.375,2.833333333333333
2026-08-23 00:00:00-05:00,14.041666666666666,8.0,18.0,81.20833333333333,0.0,6.625,,1028.4166666666667,3.0
2026-08-24 00:00:00-05:00,14.458333333333334,8.0,18.0,73.83333333333333,0.0,6.583333333333333,26.0,1028.625,4.0
2026-08-25 00:00:00-05:00,13.375,7.0,18.0,72.83333333333333,0.0,6.75,,1028.0,3.208333333333333
2026-08-26 00:00:00-05:00,15.583333333333334,12.0,20.0,73.83333333333333,0.0,6.291666666666667,,1026.8333333333333,3.4166666666666665
2026-08-27 00:00:00-05:00,14.875,10.0,20.0,75.0,0.0,6.625,19.0,1026.25,3.1666666666666665
2026-08-28 00:00:00-05:00,15.958333333333334,11.0,21.0,68.95833333333333,0.0,6.666666666666667,24.0,1026.9166666666667,3.5
2026-08-29 00:00:00-05:00,15.041666666666666,9.0,21.0,78.04166666666667,0.0,5.625,24.0,1027.0416666666667,3.083333333333333
2026-08-30 00:00:00-05:00,14.875,12.0,19.0,82.70833333333333,0.0,5.833333333333333,,1027.7083333333333,3.333333333333333
2026-08-31 00:00:00-05:00,15.708333333333334,11.0,20.0,66.5,0.0,6.5,22.0,1028.375,3.25
