osm_type,id,categoria,lat,lon,name,sin_nombre
node,4072755266,luminaria,4.6492948,-74.0624477,Sin registro,True
node,4072767196,luminaria,4.6493748,-74.0627959,Sin registro,True
node,4072767198,luminaria,4.6493948,-74.0628656,Sin registro,True
node,4072767199,luminaria,4.6494135,-74.0629461,Sin registro,True
node,4072767201,luminaria,4.6494269,-74.0630159,Sin registro,True
node,4072767202,luminaria,4.6494496,-74.0631379,Sin registro,True
node,4072767206,luminaria,4.6494764,-74.063264,Sin registro,True
node,4072767218,luminaria,4.6495245,-74.0629273,Sin registro,True
node,4072767224,luminaria,4.6495519,-74.0631178,Sin registro,True
node,4072767227,luminaria,4.6495759,-74.0632371,Sin registro,True
node,4072767228,luminaria,4.6495947,-74.0634417,Sin registro,True
node,4072767230,luminaria,4.6496013,-74.0633551,Sin registro,True
node,4072767235,luminaria,4.649721,-74.0628616,Sin registro,True
node,4072767236,luminaria,4.6497216,-74.0633337,Sin registro,True
node,4072767238,luminaria,4.6497424,-74.0629622,Sin registro,True
node,4072767240,luminaria,4.6497591,-74.0630842,Sin registro,True
node,4072767241,luminaria,4.6497891,-74.062635,Sin registro,True
node,4072767242,luminaria,4.6497918,-74.063207,Sin registro,True
node,4072767243,luminaria,4.6498079,-74.0627423,Sin registro,True
node,4072767244,luminaria,4.6498099,-74.0633203,Sin registro,True
node,4072767245,luminaria,4.6498252,-74.0628402,Sin registro,True
node,4072767246,luminaria,4.6498714,-74.0633981,Sin registro,True
node,4072767248,luminaria,4.6499108,-74.0628254,Sin registro,True
node,4072767249,luminaria,4.6499262,-74.062926,Sin registro,True
node,4072767250,luminaria,4.649983,-74.0631828,Sin registro,True
node,4072767252,luminaria,4.6500077,-74.0632955,Sin registro,True
node,4079531127,luminaria,4.7093336,-74.0610207,Sin registro,True
node,4079531140,luminaria,4.7093839,-74.0611344,Sin registro,True
node,4079531144,luminaria,4.7094008,-74.0609577,Sin registro,True
node,4079538635,luminaria,4.709255,-74.0606439,Sin registro,True
node,4079538639,luminaria,4.7092867,-74.0609061,Sin registro,True
node,4079538650,luminaria,4.709394,-74.0607978,Sin registro,True
node,4079538652,luminaria,4.7094341,-74.0610389,Sin registro,True
node,4079538665,luminaria,4.7095064,-74.0608761,Sin registro,True
node,4080231417,luminaria,4.7092464,-74.0604472,Sin registro,True
node,4080231436,luminaria,4.7093262,-74.0604704,Sin registro,True
node,4080231446,luminaria,4.7094794,-74.0605893,Sin registro,True
node,4080315490,luminaria,4.7090717,-74.061452,Sin registro,True
node,4080315496,luminaria,4.7091062,-74.0608931,Sin registro,True
node,4080315497,luminaria,4.709143,-74.0609709,Sin registro,True
node,4080315501,luminaria,4.7091887,-74.0610808,Sin registro,True
node,4080315538,luminaria,4.7095119,-74.061274,Sin registro,True
node,4080315540,luminaria,4.7095074,-74.0611241,Sin registro,True
node,4080315546,luminaria,4.7096428,-74.0613998,Sin registro,True
node,4080315548,luminaria,4.7096907,-74.0605597,Sin registro,True
node,4080315552,luminaria,4.7097039,-74.0608613,Sin registro,True
node,4080315565,luminaria,4.7097279,-74.0604226,Sin registro,True
node,4080315573,luminaria,4.7097476,-74.061182,Sin registro,True
node,4080315584,luminaria,4.7097739,-74.0612834,Sin registro,True
node,4128432050,luminaria,4.6382094,-74.0843332,Sin registro,True
node,4128498624,luminaria,4.6379185,-74.0841856,Sin registro,True
node,4128498625,luminaria,4.6379635,-74.084208,Sin registro,True
node,4128498626,luminaria,4.6380052,-74.0842289,Sin registro,True
node,4128498627,luminaria,4.6380448,-74.0842486,Sin registro,True
node,4128498628,luminaria,4.6380871,-74.0842698,Sin registro,True
node,4128498629,luminaria,4.6381291,-74.0842935,Sin registro,True
node,4128498630,luminaria,4.6381694,-74.0843146,Sin registro,True
node,4524091684,luminaria,4.7610609,-74.0164205,Sin registro,True
node,4524092091,luminaria,4.7617178,-74.0156775,Sin registro,True
node,4524092092,luminaria,4.7618976,-74.0157519,Sin registro,True
node,4524092093,luminaria,4.7618121,-74.0154622,Sin registro,True
node,4524092094,luminaria,4.7619858,-74.0155373,Sin registro,True
node,4524092095,luminaria,4.761907,-74.015414,Sin registro,True
node,4524092096,luminaria,4.7620145,-74.0151672,Sin registro,True
node,6343970405,luminaria,4.6245038,-74.0815446,Sin registro,True
node,6343970406,luminaria,4.6248957,-74.0832584,Sin registro,True
node,6343997023,luminaria,4.625096,-74.0853226,Sin registro,True
node,6802589333,luminaria,4.6744674,-74.0493808,Sin registro,True
node,6802996308,luminaria,4.6761372,-74.0496339,Sin registro,True
node,6802997755,luminaria,4.6770588,-74.0499621,Sin registro,True
node,6803000461,luminaria,4.6744936,-74.0497702,Sin registro,True
node,6803009346,luminaria,4.6750325,-74.0508181,Sin registro,True
node,6803009584,luminaria,4.6759755,-74.0497029,Sin registro,True
node,6803009629,luminaria,4.6755353,-74.0499099,Sin registro,True
node,6803010560,luminaria,4.6765907,-74.0494404,Sin registro,True
node,6803018249,luminaria,4.6757352,-74.0498295,Sin registro,True
node,6803018986,luminaria,4.6748201,-74.0503703,Sin registro,True
node,6803020890,luminaria,4.6746114,-74.04997,Sin registro,True
node,6803021649,luminaria,4.6756302,-74.0498952,Sin registro,True
node,6803030711,luminaria,4.6756674,-74.0500611,Sin registro,True
node,6803034441,luminaria,4.6745421,-74.0498268,Sin registro,True
node,6803034679,luminaria,4.675902,-74.0497454,Sin registro,True
node,6803034720,luminaria,4.675761,-74.0498159,Sin registro,True
node,6803035954,luminaria,4.6747632,-74.0502539,Sin registro,True
node,6803036466,luminaria,4.6750844,-74.050139,Sin registro,True
node,6803039410,luminaria,4.6749905,-74.050483,Sin registro,True
node,6803044624,luminaria,4.6757874,-74.0502837,Sin registro,True
node,6803045301,luminaria,4.6746943,-74.0501404,Sin registro,True
node,6803045785,luminaria,4.6749165,-74.0502366,Sin registro,True
node,8691759278,luminaria,4.7113883,-74.0492249,Sin registro,True
node,8691759295,luminaria,4.71125,-74.0492165,Sin registro,True
node,8691759296,luminaria,4.7111404,-74.0491303,Sin registro,True
node,8691759297,luminaria,4.7110773,-74.0492513,Sin registro,True
node,8711310636,luminaria,4.7150766,-74.0489224,Sin registro,True
node,8711310645,luminaria,4.7155611,-74.0488976,Sin registro,True
node,8711310677,luminaria,4.7154712,-74.0483887,Sin registro,True
node,8711310678,luminaria,4.7155143,-74.0484252,Sin registro,True
node,8711310679,luminaria,4.7155407,-74.0485851,Sin registro,True
node,8711311276,luminaria,4.713851,-74.0522031,Sin registro,True
node,8711311277,luminaria,4.713843,-74.0522859,Sin registro,True
node,8711311278,luminaria,4.7140785,-74.0522527,Sin registro,True
node,8711311279,luminaria,4.7144922,-74.0521803,Sin registro,True
node,8711311280,luminaria,4.7146863,-74.0521481,Sin registro,True
node,8711311376,luminaria,4.7131994,-74.0491082,Sin registro,True
node,8711311378,luminaria,4.7133818,-74.0490773,Sin registro,True
node,8711311397,luminaria,4.7136953,-74.0490297,Sin registro,True
node,8711311424,luminaria,4.7139873,-74.0489775,Sin registro,True
node,8711311427,luminaria,4.7142566,-74.0489338,Sin registro,True
node,8711311429,luminaria,4.7144117,-74.048958,Sin registro,True
node,8711311432,luminaria,4.7148267,-74.0489244,Sin registro,True
node,8711311433,luminaria,4.7146827,-74.0489472,Sin registro,True
node,8711311437,luminaria,4.7147953,-74.0487481,Sin registro,True
node,8711311439,luminaria,4.7147605,-74.0483337,Sin registro,True
