dia,opcion,pares,MAE,RMSE,w
2026-08-14,A_chronos,2733,0.16975061063894276,0.7397670706348807,0.5
2026-08-14,B_hist,2733,0.22390620350927595,0.4199880199204482,0.5
2026-08-14,C_blend,2733,0.1521796698573158,0.40004617438175927,0.5
2026-08-14,D_ratio,2733,0.5442197269243856,0.721467314520228,0.5
2026-08-15,A_chronos,2699,0.23894447167611388,1.2741403861030491,0.75
2026-08-15,B_hist,2699,0.20088371110952913,0.8409805596986801,0.75
2026-08-15,C_blend,2699,0.20175960854306074,1.1195711199464788,0.75
2026-08-15,D_ratio,2699,0.27270993206296434,1.032358968157582,0.75
2026-08-16,A_chronos,2613,0.38845329869309064,2.1035633828879967,0.5
2026-08-16,B_hist,2613,0.6304195259065727,1.897930457895342,0.5
2026-08-16,C_blend,2613,0.4764805781391638,1.9577290609881046,0.5
2026-08-16,D_ratio,2613,0.38900831057931434,1.9024873747884499,0.5
2026-08-21,A_chronos,2742,0.19818840500095072,1.3070708373068352,0.75
2026-08-21,B_hist,2741,0.22406295530816644,0.42598819056201676,0.75
2026-08-21,C_blend,2742,0.17808415541824124,0.9822799743270942,0.75
2026-08-21,D_ratio,2742,0.5349461518974856,1.0958764398961232,0.75
2026-08-29,A_chronos,2678,0.23014130496384475,1.0612269143743593,0.75
2026-08-29,B_hist,2678,0.2045588802000076,0.8445952383901931,0.75
2026-08-29,C_blend,2678,0.2047108004480377,0.9674335011303247,0.75
2026-08-29,D_ratio,2678,0.3229287635830038,0.9047040110291449,0.75
